IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
3.55,96.3,16.5,Tidak,Menengah,P,Tidak,Ya
3.56,87.6,10.5,Ya,Rendah,L,Ya,Tidak
3.18,89.2,12.5,Ya,,P,Ya,Tidak
3.77,92.7,17.8,Tidak,,P,Ya,Ya
3.07,85.3,11.2,Ya,Tinggi,P,Tidak,Ya
3.1,83.4,,Tidak,Tinggi,P,Tidak,Tidak
3.58,100.0,20.0,Tidak,Rendah,P,Tidak,Ya
3.31,93.9,17.9,Ya,Tinggi,L,Tidak,Ya
3.13,85.3,11.1,Tidak,Menengah,P,Tidak,Tidak
3.25,84.5,,Tidak,Rendah,L,Ya,Tidak
3.17,87.1,7.6,Tidak,Rendah,P,Ya,Tidak
3.11,80.0,10.3,Tidak,Menengah,P,Tidak,Tidak
3.27,98.2,11.3,Tidak,Menengah,L,Tidak,Ya
2.56,61.4,1.0,Ya,Menengah,L,Ya,Tidak
2.67,78.3,6.2,Tidak,Rendah,P,Tidak,Tidak
3.23,79.2,10.2,Tidak,Rendah,L,Tidak,Ya
3.06,69.8,13.2,Tidak,Menengah,P,Tidak,Tidak
3.16,,15.4,Ya,Rendah,L,Ya,Tidak
3.02,72.8,6.4,Ya,Rendah,L,Ya,Tidak
2.99,72.9,12.8,Ya,Rendah,P,Tidak,Tidak
3.36,99.5,21.1,Ya,Tinggi,P,Tidak,Ya
3.29,77.4,13.4,Ya,Tinggi,P,Tidak,Tidak
3.15,83.5,12.1,Tidak,Menengah,L,Tidak,Tidak
2.96,83.6,4.8,Tidak,Tinggi,P,Tidak,Tidak
2.96,88.9,9.5,Ya,Rendah,P,Ya,Ya
2.96,86.7,16.0,Ya,Menengah,P,Ya,Tidak
2.64,72.9,13.8,Ya,Rendah,P,Tidak,Tidak
3.36,87.1,18.2,Tidak,Menengah,P,Tidak,Ya
3.13,81.4,9.0,Tidak,Tinggi,L,Tidak,Tidak
3.01,74.0,8.3,Tidak,Menengah,L,Ya,Tidak
,76.0,10.8,Ya,Rendah,P,Ya,Tidak
3.46,89.2,14.0,Tidak,Menengah,L,Tidak,Ya
3.23,85.4,13.4,Tidak,Rendah,P,Tidak,Tidak
2.74,,8.4,Ya,Tinggi,L,Tidak,Tidak
,87.4,14.1,Tidak,Menengah,P,Ya,Tidak
2.92,81.9,3.7,Ya,Menengah,P,Tidak,Tidak
3.15,77.2,14.7,Tidak,Menengah,L,Tidak,Tidak
2.64,56.1,4.1,Tidak,Menengah,L,Tidak,Tidak
3.06,72.4,4.5,Tidak,Rendah,L,Ya,Tidak
3.2,91.3,5.0,Ya,Menengah,P,Ya,Ya
3.61,100.0,15.0,Tidak,Rendah,P,Tidak,Ya
3.09,81.7,18.1,Tidak,Menengah,L,Ya,Tidak
3.31,88.7,16.8,Ya,Tinggi,P,Tidak,Ya
3.43,80.0,10.1,Tidak,Tinggi,L,Tidak,Ya
2.4,68.6,5.6,Ya,Menengah,L,Tidak,Tidak
2.91,82.0,11.3,Ya,Menengah,P,Tidak,Tidak
3.23,82.9,8.1,Tidak,Rendah,L,Ya,Tidak
3.51,82.7,17.1,Ya,Menengah,L,Tidak,Ya
3.41,95.4,15.9,Tidak,Rendah,L,Tidak,Ya
2.65,75.8,9.8,Ya,Menengah,L,Ya,Tidak
3.36,82.0,13.4,Tidak,Rendah,L,Ya,Ya
3.12,82.0,10.6,Ya,Rendah,L,Ya,Ya
3.27,80.0,7.6,Tidak,Menengah,P,Ya,Ya
3.47,90.2,12.3,Ya,Rendah,L,Tidak,Ya
3.6,88.8,15.5,Tidak,Menengah,P,Tidak,Tidak
3.43,87.2,16.8,Tidak,Rendah,L,Ya,Ya
2.93,75.3,12.1,Tidak,Rendah,L,Ya,Tidak
3.09,87.6,9.1,Tidak,Menengah,P,Tidak,Tidak
3.41,89.4,17.9,Ya,Rendah,P,Tidak,Tidak
,89.5,15.2,Tidak,Rendah,L,Ya,Ya
3.17,83.5,10.8,Ya,Menengah,P,Tidak,Tidak
3.57,63.5,9.7,Ya,Rendah,P,Tidak,Tidak
3.1,,1.7,Ya,Tinggi,P,Tidak,Tidak
2.86,61.3,10.8,Tidak,Rendah,P,Ya,Tidak
3.69,88.1,17.4,Tidak,Rendah,L,Tidak,Ya
3.55,88.2,16.5,Ya,Menengah,L,Ya,Ya
2.86,74.2,12.4,Tidak,Rendah,P,Ya,Tidak
3.35,99.3,17.5,Tidak,,L,Tidak,Ya
3.01,83.3,9.3,Ya,Menengah,P,Tidak,Tidak
3.01,79.4,8.7,Ya,Rendah,L,Ya,Tidak
3.35,86.0,16.0,Ya,Tinggi,L,Tidak,Ya
3.98,99.9,14.3,Tidak,Rendah,P,Ya,Ya
3.3,83.2,13.2,Ya,Menengah,L,Ya,Tidak
3.64,89.1,14.1,Tidak,Tinggi,P,Tidak,Ya
2.67,65.6,4.6,Tidak,Menengah,P,Ya,Tidak
3.08,87.3,15.3,Ya,Tinggi,P,Tidak,Tidak
3.32,74.0,8.2,Tidak,Menengah,P,Tidak,Tidak
3.31,77.6,14.8,Tidak,Tinggi,P,Tidak,Tidak
3.01,93.2,10.7,Tidak,Rendah,P,Tidak,Ya
2.9,70.4,,Ya,Menengah,P,Ya,Tidak
3.25,78.8,,Ya,Menengah,L,Tidak,Tidak
3.27,84.0,17.0,Ya,Menengah,L,Tidak,Ya
3.77,94.3,14.8,Ya,Menengah,L,Tidak,Ya
3.51,91.3,10.9,Tidak,Menengah,L,Tidak,Ya
3.06,78.1,10.9,Tidak,Rendah,P,Tidak,Tidak
3.16,81.2,12.7,Tidak,Rendah,P,Ya,Tidak
